start;end;description
319;319;ST. JOHN ISLANDER
320;320;ST. THOMAS ISLANDER
321;331;BRITISH WEST INDIES
321;321;BRITISH VIRGIN ISLANDER
321;321;Tortolan
321;321;Virgin Gorda
321;321;Anegada
321;321;Jost Van Dyke
321;321;Peter and Norman
322;322;BRITISH WEST INDIAN
322;322;British West Indies
323;323;TURKS AND CAICOS ISLANDER
324;324;ANGUILLA ISLANDER
325;325;ANTIGUA AND BARBUDA
325;325;Antigua
325;325;Barbuda
325;325;Redonda Islander
326;326;MONTSERRAT ISLANDER
327;327;KITTS-NEVIS ISLANDER
327;327;St. Christopoher Islander
327;327;Sombrero Islander
327;327;St. Kitts
327;327;Nevis
328;328;DOMINICA ISLANDER
329;329;GRENADIAN
329;329;Grenada Islander
330;330;VINCENT-GRENADINE ISLANDER
330;330;St. Vincent Island
330;330;Vincentian
330;330;Grenadines Islander
331;331;ST. LUCIA ISLANDER
332;334;FRENCH WEST INDIES
332;332;FRENCH WEST INDIES
332;332;French West Indian
333;333;GUADELOUPE ISLANDER
333;333;Martinicois
333;333;Martinique Islander
334;334;CAYENNE
334;334;French Guiana
334;334;French Guianese
334;334;Guyane
335;335;WEST INDIAN
335;335;West Indies
335;335;Arawak
335;335;Caribs
335;335;Caribbean
335;335;Garifuna
336;359;HAITIAN
336;359;Haiti
360;399;CENTRAL AND SOUTH AMERICA (EXCEPT HISPANIC)
360;364;BRAZILIAN
360;364;Brazil
365;369;SAN ANDRES
370;374;GUYANESE
370;374;Guyana
370;370;British Guiana
375;379;PROVIDENCIA
380;399;SURINAM
380;399;Netherlands Guiana
380;380;Dutch Guiana
400;499;NORTH AFRICA AND SOUTHWEST ASIA
400;401;ALGERIAN
400;401;Algeria
402;403;EGYPTIAN
402;403;Fellahin
402;402;Copt
402;402;Egypt
404;405;LIBYAN
404;405;Libya
406;407;MOROCCAN
406;406;MOROCCAN
406;406;Moor
407;407;IFNI
408;410;TUNISIAN
408;410;Tunisia
411;411;NORTH AFRICAN
412;412;ALHUCEMAS
412;412;Ceuta
412;412;Chafarinas
412;412;Melilla
413;413;BERBER
414;414;RIO DE ORO
414;414;Saguia El Hamra
415;415;BAHRAINI
415;415;Bahrain
416;416;IRANIAN
416;416;Iran
416;416;Parsi
416;416;Persia
417;418;IRAQI
417;418;Iraq
419;420;ISRAELI
419;420;Israel
421;422;JORDANIAN
421;421;JORDANIAN
421;421;Hashemite
