start;end;description
864;902;Handlers, Equipment Cleaners, Helpers, and Laborers
864;864;Supervisors, handlers, equipment cleaners, and laborers, n.e.c.
865;865;Helpers, mechanics, and repairers
866;868;Helpers, Construction, and Extractive Occupations
866;866;Helpers, construction trades
867;867;Helpers, surveyor
868;868;Helpers, extractive occupations
869;873;Construction laborers
874;874;Production helpers
875;884;Freight, Stock, and Material Handlers
875;875;Garbage collectors
876;876;Stevedores
877;877;Stock handlers and baggers
878;882;Machine feeders and offbearers
883;884;Freight, stock, and material handlers, n.e.c.
885;886;Garage and service station related occupations
887;887;Vehicle washers and equipment cleaners
888;888;Hand packers and packagers occupations
889;902;Laborers, except construction
903;908;MILITARY OCCUPATIONS (Includes only uniquely military occupations.
903;903;Commissioned officers and warrant officers
904;904;Non-commissioned officers and other enlisted personnel
905;908;Military occupation, rank not specified
909;999;EXPERIENCED UNEMPLOYED NOT CLASSIFIED BY OCCUPATION
909;999;Unemployed, last worked 1984 or earlier
